page,key,de,en,fr,it
global,global.reference.greaterRegion.OW,Obwalden,Obwald,Obwaldo,Obwalden
global,global.reference.greaterRegion.SG,St. Gallen,St-Gall,San Gallo,St. Gallen
global,global.reference.greaterRegion.SH,Schaffhausen,Schaffhouse,Sciaffusa,Schaffhausen
global,global.reference.greaterRegion.SO,Solothurn,Soleure,Soletta,Solothurn
global,global.reference.greaterRegion.SZ,Schwyz,Schwyz,Svitto,Schwyz
global,global.reference.greaterRegion.TG,Thurgau,Thurgovie,Turgovia,Thurgau
global,global.reference.greaterRegion.TI,Tessin,Tessin,Ticino,Tessin
global,global.reference.greaterRegion.UR,Uri,Uri,Uri,Uri
global,global.reference.greaterRegion.VD,Waadt,Vaud,Vaud,Waadt
global,global.reference.greaterRegion.VS,Wallis,Valais,Vallese,Wallis
global,global.reference.greaterRegion.ZG,Zug,Zoug,Zugo,Zug
global,global.reference.greaterRegion.ZH,Zürich,Zurich,Zurigo,Zürich
global,global.reference.language.ar,Arabisch,Arabisch,Arabisch,Arabisch
global,global.reference.language.bs,Bulgarisch,Bulgarisch,Bulgarisch,Bulgarisch
global,global.reference.language.ch-de,CH-Deutsch,CH-Deutsch,CH-Deutsch,CH-Deutsch
global,global.reference.language.cs,Tschechisch,Tschechisch,Tschechisch,Tschechisch
global,global.reference.language.da,Dänisch,Dänisch,Dänisch,Dänisch
global,global.reference.language.de,Deutsch,Deutsch,Deutsch,Deutsch
global,global.reference.language.en,Englisch,Englisch,Englisch,Englisch
global,global.reference.language.es,Spanisch,Spanisch,Spanisch,Spanisch
global,global.reference.language.fi,Finnisch,Finnisch,Finnisch,Finnisch
global,global.reference.language.fr,Französisch,Französisch,Französisch,Französisch
global,global.reference.language.gr,Griechisch,Griechisch,Griechisch,Griechisch
global,global.reference.language.hr,Kroatisch,Kroatisch,Kroatisch,Kroatisch
global,global.reference.language.hu,Ungarisch,Ungarisch,Ungarisch,Ungarisch
global,global.reference.language.it,Italienisch,Italienisch,Italienisch,Italienisch
global,global.reference.language.jp,Japanisch,Japanisch,Japanisch,Japanisch
global,global.reference.language.km,Khmer,Khmer,Khmer,Khmer
global,global.reference.language.ku,Kurdisch,Kurdisch,Kurdisch,Kurdisch
global,global.reference.language.lt,Litauisch,Litauisch,Litauisch,Litauisch
global,global.reference.language.ne,Holländisch,Holländisch,Holländisch,Holländisch
global,global.reference.language.no,Norwegisch,Norwegisch,Norwegisch,Norwegisch
global,global.reference.language.po,Polnisch,Polnisch,Polnisch,Polnisch
global,global.reference.language.pr,Portugiesisch,Portugiesisch,Portugiesisch,Portugiesisch
global,global.reference.language.ro,Rumänisch,Rumänisch,Rumänisch,Rumänisch
global,global.reference.language.ru,Russisch,Russisch,Russisch,Russisch
global,global.reference.language.sk,Slowakisch,Slowakisch,Slowakisch,Slowakisch
global,global.reference.language.sl,Slowenisch,Slowenisch,Slowenisch,Slowenisch
global,global.reference.language.sq,Albanisch,Albanisch,Albanisch,Albanisch
global,global.reference.language.sr,Serbisch,Serbisch,Serbisch,Serbisch
global,global.reference.language.sv,Schwedisch,Schwedisch,Schwedisch,Schwedisch
global,global.reference.language.ta,Tamil,Tamil,Tamil,Tamil
global,global.reference.language.th,Thai,Thai,Thai,Thai
global,global.reference.language.tr,Türkisch,Türkisch,Türkisch,Türkisch
global,global.reference.language.vi,Vietnamesisch,Vietnamesisch,Vietnamesisch,Vietnamesisch
global,global.reference.language.zh,Chinesisch,Chinesisch,Chinesisch,Chinesisch
global,global.ribbon.dev,Local,Local,Local,Local
global,global.ribbon.development,Development,Development,Développement,Development
global,global.ribbon.test,Test,Test,Test,Test
global,global.title,Jobroom,Jobroom,Jobroom,Jobroom
global,navigation.previous,Bisherige,Previous,Bisherige,Bisherige
global,navigation.next,Nächster,Next,Nächster,Nächster
health,health.details.details,Details,Details,Détails,Dettagli
health,health.details.error,Error,Error,Erreur,Errore
health,health.details.name,Name,Name,Nom,Nome
health,health.details.properties,Properties,Properties,Propriétés,Proprietà
health,health.details.value,Wert,Value,Valeur,Valore
health,health.indicator.configServer,Microservice Config Server,Microservice Config Server,Microservice Config Server,Server di Configurazioni Microservice
health,health.indicator.db,Datenbank,Database,Base de données,Database
health,health.indicator.discoveryComposite,Discovery Composite,Discovery Composite,Discovery Composite,Discovery Composite
health,health.indicator.diskSpace,Festplattenspeicher,Disk space,Espace disque,Spazio su disco
health,health.indicator.hystrix,Hystrix,Hystrix,Hystrix,Hystrix
health,health.indicator.mail,Email,Email,Email,Email
health,health.indicator.refreshScope,Microservice Refresh Scope,Microservice Refresh Scope,Microservice Refresh Scope,Scopo di Aggiornamento Microservice
health,health.refresh.button,Aktualisieren,Refresh,Rafraichir,Aggiorna
health,health.stacktrace,Stacktrace,Stacktrace,Stacktrace,Stacktrace
health,health.status.DOWN,DOWN,DOWN,HORS SERVICE,NON DISPONIBILE
health,health.status.UP,UP,UP,DISPONIBLE,DISPONIBILE
health,health.table.service,Dienst Name,Service name,Nom du service,Nome del servizio
health,health.table.status,Status,Status,Etat,Stato
health,health.title,Gesundheit Ihrer Anwendung,Health Checks,Diagnostics,Verifiche
home,home.title,JobRoom,JobRoom,JobRoom,JobRoom
home,home.toolbar.companies,Unternehmen,Unternehmen,Unternehmen,Unternehmen
home,home.toolbar.jobSeekers,Stellensuchende,Stellensuchende,Stellensuchende,Stellensuchende
home,home.toolbar.recruitmentAgencies,Arbeitsvermittler,Arbeitsvermittler,Arbeitsvermittler,Arbeitsvermittler
home,home.toolbar.title,Job-Room bietet Leistungen für,Job-Room bietet Leistungen für,Job-Room bietet Leistungen für,Job-Room bietet Leistungen für
home,home.tools.candidateSearchTab,Kandidaten finden,Kandidaten finden,Kandidaten finden,Kandidaten finden
home,home.tools.job-search.search-button.title,Traumjob finden!,Traumjob finden!,Traumjob finden!,Traumjob finden!
home,home.tools.jobPublicationTab,Job publizieren,Job publizieren,Job publizieren,Job publizieren
home,home.tools.jobSearch.title,Finden Sie jetzt Ihren Traumjob!,Finden Sie jetzt Ihren Traumjob!,Finden Sie jetzt Ihren Traumjob!,Finden Sie jetzt Ihren Traumjob!
job-detail,job-detail.external-job-disclaimer,"Dieses Inserat wurde auf einer externen Website gefunden. Die Arbeitslosenversicherung und öffentliche Arbeitsvermittlung stellt Ihnen dieses Suchresultat als zusätzliche Dienstleistung zur Verfügung, hat aber keinerlei Einfluss auf dessen Inhalt und Qualität.","This ad has been found on an external website. The unemployment insurance and public employment service provides this search result as an additional service, but has no influence on its content and quality.","Cette annonce a ?t? trouv?e sur un site externe. L'assurance-ch?mage et le service public de l'emploi fournissent ce r?sultat de recherche en tant que service suppl?mentaire, mais n'a aucune influence sur son contenu et sa qualit?.","Questo annuncio ? stato trovato su un sito web esterno. L'assicurazione contro la disoccupazione e il servizio pubblico per l'impiego fornisce questo risultato di ricerca come un servizio aggiuntivo, ma non ha alcuna influenza sul suo contenuto e qualit?."
job-detail,job-detail.action.applyNow,Jetzt Bewerben,Jetzt Bewerben,Jetzt Bewerben,Jetzt Bewerben
job-detail,job-detail.action.copyLink,Link kopieren,Link kopieren,Link kopieren,Link kopieren
job-detail,job-detail.action.print,Drucken,Drucken,Drucken,Drucken
job-detail,job-detail.action.saveJob,Stellenangebot speichern,Stellenangebot speichern,Stellenangebot speichern,Stellenangebot speichern
job-detail,job-detail.action.savePdf,Als PDF speichern,Als PDF speichern,Als PDF speichern,Als PDF speichern
job-detail,job-detail.action.sendEmail,Per E-Mail versenden,Per E-Mail versenden,Per E-Mail versenden,Per E-Mail versenden
job-detail,job-detail.action.showExternalPage,Zum externen Stelleninserat,Zum externen Stelleninserat,Zum externen Stelleninserat,Zum externen Stelleninserat
job-detail,job-detail.application.hints,Ergänzende Angaben,Hints,Ergänzende Angaben,Ergänzende Angaben
job-detail,job-detail.application.title,Bewerbungsformen,Application,Bewerbungsformen,Bewerbungsformen
job-detail,job-detail.application.mail,Per Post,For Mail,Per Post,Per Post
job-detail,job-detail.application.mail.text,siehe Adresse des Unternehmens,See company address,siehe Adresse des Unternehmens,siehe Adresse des Unternehmens
job-detail,job-detail.application.email,Per E-Mail,E-Mail,Per E-Mail,Per E-Mail
job-detail,job-detail.application.phone,Telefonisch,Phone,Telefonisch,Telefonisch
job-detail,job-detail.back,Zurück zu den Suchergebnissen,Zurück zu den Suchergebnissen,Zurück zu den Suchergebnissen,Zurück zu den Suchergebnissen
job-detail,job-detail.contactPerson,Ihre Kontaktperson,Ihre Kontaktperson,Ihre Kontaktperson,Ihre Kontaktperson
job-detail,job-detail.contactPerson.salutation.MR,Herr,Herr,Herr,Herr
job-detail,job-detail.contactPerson.salutation.MS,Frau,Frau,Frau,Frau
job-detail,job-detail.external-job-disclaimer,"Dieses Inserat wurde auf einer externen Website gefunden. Die Arbeitslosenversicherung und öffentliche Arbeitsvermittlung stellt Ihnen dieses Suchresultat als zusätzliche Dienstleistung zur Verfügung, hat aber keinerlei Einfluss auf dessen Inhalt und Qualität.                                                                                                                                                              ","This ad has been found on an external website. The unemployment insurance and public employment service provides this search result as an additional service, but has no influence on its content and quality.                                                                                                                                                                                                                    ","Cette annonce a ?t? trouv?e sur un site externe. L'assurance-ch?mage et le service public de l'emploi fournissent ce r?sultat de recherche en tant que service suppl?mentaire, mais n'a aucune influence sur son contenu et sa qualit?.                                                                                                                                                                                           ","Questo annuncio ? stato trovato su un sito web esterno. L'assicurazione contro la disoccupazione e il servizio pubblico per l'impiego fornisce questo risultato di ricerca come un servizio aggiuntivo, ma non ha alcuna influenza sul suo contenuto e qualit?."
job-detail,job-detail.language,Sprache,Sprache,Sprache,Sprache
job-detail,job-detail.language.99,Andere,Andere,Andere,Andere
job-detail,job-detail.language.ar,Arabisch,Arabisch,Arabisch,Arabisch
job-detail,job-detail.language.bg,Bulgarisch,Bulgarisch,Bulgarisch,Bulgarisch
job-detail,job-detail.language.bs,Bosnisch,Bosnisch,Bosnisch,Bosnisch
job-detail,job-detail.language.cs,Tschechisch,Tschechisch,Tschechisch,Tschechisch
job-detail,job-detail.language.da,Dänisch,Dänisch,Dänisch,Dänisch
job-detail,job-detail.language.de,Deutsch,Deutsch,Deutsch,Deutsch
job-detail,job-detail.language.el,Griechisch,Griechisch,Griechisch,Griechisch
job-detail,job-detail.language.en,Englisch,Englisch,Englisch,Englisch
job-detail,job-detail.language.es,Spanisch,Spanisch,Spanisch,Spanisch
job-detail,job-detail.language.fi,Finnisch,Finnisch,Finnisch,Finnisch
job-detail,job-detail.language.fr,Französisch,Französisch,Französisch,Französisch
job-detail,job-detail.language.he,Hebräisch,Hebräisch,Hebräisch,Hebräisch
job-detail,job-detail.language.hr,Kroatisch,Kroatisch,Kroatisch,Kroatisch
job-detail,job-detail.language.hu,Ungarisch,Ungarisch,Ungarisch,Ungarisch
job-detail,job-detail.language.it,Italienisch,Italienisch,Italienisch,Italienisch
job-detail,job-detail.language.ja,Japanisch,Japanisch,Japanisch,Japanisch
job-detail,job-detail.language.km,Kambodschanisch,Kambodschanisch,Kambodschanisch,Kambodschanisch
job-detail,job-detail.language.ku,Kurdisch,Kurdisch,Kurdisch,Kurdisch
job-detail,job-detail.language.level.BASIC,Grundkentnisse,Grundkentnisse,Grundkentnisse,Grundkentnisse
job-detail,job-detail.language.level.INTERMEDIATE,Fortgeschritten,Intermediate,Fortgeschritten,Fortgeschritten
job-detail,job-detail.language.level.NONE,keine Kentnisse,keine Kentnisse,keine Kentnisse,keine Kentnisse
job-detail,job-detail.language.level.PROFICIENT,Professionell,Proficient,Proficient,Proficient
job-detail,job-detail.language.lt,Litauisch,Litauisch,Litauisch,Litauisch
job-detail,job-detail.language.mk,Makedonisch,Makedonisch,Makedonisch,Makedonisch
job-detail,job-detail.language.nl,Holändisch,Holändisch,Holändisch,Holändisch
job-detail,job-detail.language.no,Norwegisch,Norwegisch,Norwegisch,Norwegisch
job-detail,job-detail.language.pl,Polnisch,Polnisch,Polnisch,Polnisch
job-detail,job-detail.language.pt,Portugiesisch,Portugiesisch,Portugiesisch,Portugiesisch
job-detail,job-detail.language.rm,Rätoromanisch,Rätoromanisch,Rätoromanisch,Rätoromanisch
job-detail,job-detail.language.ro,Rumänisch,Rumänisch,Rumänisch,Rumänisch
job-detail,job-detail.language.ru,Russisch,Russisch,Russisch,Russisch
job-detail,job-detail.language.sk,Slowakisch,Slowakisch,Slowakisch,Slowakisch
job-detail,job-detail.language.sl,Slowenisch,Slowenisch,Slowenisch,Slowenisch
job-detail,job-detail.language.spoken,mündlich,mündlich,mündlich,mündlich
job-detail,job-detail.language.sq,Albanisch,Albanisch,Albanisch,Albanisch
job-detail,job-detail.language.sr,Serbisch,Serbisch,Serbisch,Serbisch
job-detail,job-detail.language.sv,Schwedisch,Schwedisch,Schwedisch,Schwedisch
job-detail,job-detail.language.ta,Tamil,Tamil,Tamil,Tamil
job-detail,job-detail.language.th,Thai,Thai,Thai,Thai
job-detail,job-detail.language.tr,Türkisch,Türkisch,Türkisch,Türkisch
job-detail,job-detail.language.vi,Vietnamesisch,Vietnamesisch,Vietnamesisch,Vietnamesisch
job-detail,job-detail.language.written,schriftlich,schriftlich,schriftlich,schriftlich
job-detail,job-detail.language.zh,Chinesisch,Chinesisch,Chinesisch,Chinesisch
job-detail,job-detail.languages,Sprachkenntnisse,Sprachkenntnisse,Sprachen,Sprachen
job-detail,job-detail.onlineSince,Vakant seit,Vakant seit,Vakant seit,Vakant seit
job-detail,job-detail.otherJobsCompany,{{count}} Jobs anzeigen,{{count}} Jobs anzeigen,{{count}} Jobs anzeigen,{{count}} Jobs anzeigen
job-detail,job-detail.otherJobsEquivalent,{{count}} ähnliche Jobs anzeigen,{{count}} ähnliche Jobs anzeigen,{{count}} ähnliche Jobs anzeigen,{{count}} ähnliche Jobs anzeigen
job-detail,job-detail.reference,Referenz,Referenz,Referenz,Referenz
job-detail,job-detail.reference.job-id,Stellennummer,Stellennummer,Stellennummer,Stellennummer
job-detail,job-detail.reference.phone,Telefon,Telefon,Telefon,Telefon
job-detail,job-detail.reference.responsible-job-center,Zuständiges RAV,Zuständiges RAV,Zuständiges RAV,Zuständiges RAV
job-detail,job-detail.startsImmediately,Stellenantritt,Stellenantritt,Stellenantritt,Stellenantritt
job-detail,job-detail.startsImmediately.false,nach Vereinbarung,nach Vereinbarung,nach Vereinbarung,nach Vereinbarung
job-detail,job-detail.startsImmediately.true,ab Sofort,ab sofort,ab sofort,ab sofort
job-detail,job-detail.title,Job detail,Job detail,Job detail,Job detail
job-search,job-search.filter.company-name.label,Name des Unternehmen,Name des Unternehmen,Name des Unternehmen,Name des Unternehmen
job-search,job-search.filter.company-name.placeholder,Name des Unternehmen,Name des Unternehmen,Name des Unternehmen,Name des Unternehmen
job-search,job-search.filter.contract-type.label,Vertragsart,Vertragsart,Vertragsart,Vertragsart
job-search,job-search.filter.contract-type.option.ALL,Alle,Alle,Alle,Alle
job-search,job-search.filter.contract-type.option.PERMANENT,Unbefristet,Unbefristet,Unbefristet,Unbefristet
job-search,job-search.filter.contract-type.option.TEMPORARY,Befristet,Befristet,Befristet,Befristet
job-search,job-search.filter.sort.label,Sortierung,Sortierung,Sortierung,Sortierung
job-search,job-search.filter.sort.option.DATE_ASC,Sortiere nach Datum aufsteigend,Sortiere nach Datum aufsteigend,Sortiere nach Datum aufsteigend,Sortiere nach Datum aufsteigend
job-search,job-search.filter.sort.option.DATE_DESC,Sortiere nach Datum absteigend,Sortiere nach Datum absteigend,Sortiere nach Datum absteigend,Sortiere nach Datum absteigend
job-search,job-search.filter.sort.option.RELEVANCE_DESC,Sortiere nach Relevanz,Sortiere nach Relevanz,Sortiere nach Relevanz,Sortiere nach Relevanz
job-search,job-search.filter.title,Suchergebnisse filtern,Suchergebnisse filtern,Suchergebnisse filtern,Suchergebnisse filtern
job-search,job-search.filter.working-time.label,Pensum,Pensum,Pensum,Pensum
job-search,job-search.job-search-list-item.badge.permanent,Unbefristet,Unbefristet,Unbefristet,Unbefristet
job-search,job-search.job-search-list-item.badge.temporary,Befristet,Befristet,Befristet,Befristet
job-search,job-search.job-search-list.error-message,Failed to load job result list!,Failed to load job result list!,Failed to load job result list!,Failed to load job result list!
job-search,job-search.job-search-list.title.many.with-locality,More than {{count}} {{query}} Jobs in {{locality}},More than {{count}} {{query}} Jobs in {{locality}},More than {{count}} {{query}} Jobs in {{locality}},More than {{count}} {{query}} Jobs in {{locality}}
job-search,job-search.job-search-list.title.many.without-locality,More than {{count}} {{query}} Jobs,More than {{count}} {{query}} Jobs,More than {{count}} {{query}} Jobs,More than {{count}} {{query}} Jobs
job-search,job-search.job-search-list.title.none.with-locality,No {{query}} Jobs in {{locality}},No {{query}} Jobs in {{locality}},No {{query}} Jobs in {{locality}},No {{query}} Jobs in {{locality}}
job-search,job-search.job-search-list.title.none.without-locality,No {{query}} Jobs,No {{query}} Jobs,No {{query}} Jobs,No {{query}} Jobs
job-search,job-search.job-search-list.title.one.with-locality,1 {{query}} Job in {{locality}},1 {{query}} Job in {{locality}},1 {{query}} Job in {{locality}},1 {{query}} Job in {{locality}}
job-search,job-search.job-search-list.title.one.without-locality,1 {{query}} Job,1 {{query}} Job,1 {{query}} Job,1 {{query}} Job
job-search,job-search.job-search-list.title.other.with-locality,{{count}} {{query}} Jobs in {{locality}},{{count}} {{query}} Jobs in {{locality}},{{count}} {{query}} Jobs in {{locality}},{{count}} {{query}} Jobs in {{locality}}
job-search,job-search.job-search-list.title.other.without-locality,{{count}} {{query}} Jobs,{{count}} {{query}} Jobs,{{count}} {{query}} Jobs,{{count}} {{query}} Jobs
job-search,job-search.title,Job search,Job search,Job search,Job search
job-search,job-search.toolbar.locality-select.tooltip,Select my current location,Select my current location,Select my current location,Select my current location
job-search,job-search.toolbar.locality.placeholder,"Ort, Region, Kanton","Ort, Region, Kanton","Ort, Region, Kanton","Ort, Region, Kanton"
job-search,job-search.toolbar.occupation.placeholder,"Berufsbezeichnung, Berufsgruppe, Fähigkeiten","Berufsbezeichnung, Berufsgruppe, Fähigkeiten","Berufsbezeichnung, Berufsgruppe, Fähigkeiten","Berufsbezeichnung, Berufsgruppe, Fähigkeiten"
job-search,job-search.toolbar.search-button.title.loading,Loading,Loading,Loading,Loading
job-search,job-search.toolbar.search-button.title.many,{{count}}+ Jobs,{{count}}+ Jobs,{{count}}+ Jobs,{{count}}+ Jobs
job-search,job-search.toolbar.search-button.title.none,No Jobs,No Jobs,No Jobs,No Jobs
job-search,job-search.toolbar.search-button.title.one,1 Job,1 Job,1 Job,1 Job
job-search,job-search.toolbar.search-button.title.other,{{count}} Jobs,{{count}} Jobs,{{count}} Jobs,{{count}} Jobs
job-search,typeahead-multiselect.type.canton,Kanton,Canton,Canton,Canton
job-search,typeahead-multiselect.type.classification,Classification,Classification,Classification,Classification
job-search,typeahead-multiselect.type.locality,Ortschaft,Ortschaft,Ortschaft,Ortschaft
job-search,typeahead-multiselect.type.occupation,Occupation,Occupation,Occupation,Occupation
job,jobroomApp.job.ageMax,Age Max,Age Max,Age Max,Age Max
job,jobroomApp.job.ageMin,Age Min,Age Min,Age Min,Age Min
job,jobroomApp.job.ageRestrictionReason,Age Restriction Reason,Age Restriction Reason,Age Restriction Reason,Age Restriction Reason
job,jobroomApp.job.applicationUrl,Application Url,Application Url,Application Url,Application Url
job,jobroomApp.job.cancellationDate,Cancellation Date,Cancellation Date,Cancellation Date,Cancellation Date
job,jobroomApp.job.cancellationReason,Cancellation Reason,Cancellation Reason,Cancellation Reason,Cancellation Reason
job,jobroomApp.job.companyAddressLine1,Company Address Line 1,Company Address Line 1,Company Address Line 1,Company Address Line 1
job,jobroomApp.job.companyAddressLine2,Company Address Line 2,Company Address Line 2,Company Address Line 2,Company Address Line 2
job,jobroomApp.job.companyCity,Company City,Company City,Company City,Company City
job,jobroomApp.job.companyCountryCode,Company Country Code,Company Country Code,Company Country Code,Company Country Code
job,jobroomApp.job.companyEmail,Company Email,Company Email,Company Email,Company Email
job,jobroomApp.job.companyName,Company Name,Company Name,Company Name,Company Name
job,jobroomApp.job.companyPhone,Company Phone,Company Phone,Company Phone,Company Phone
job,jobroomApp.job.companyPostboxCity,Company Postbox City,Company Postbox City,Company Postbox City,Company Postbox City
job,jobroomApp.job.companyPostboxNumber,Company Postbox Number,Company Postbox Number,Company Postbox Number,Company Postbox Number
job,jobroomApp.job.companyPostboxZipCode,Company Postbox Zip Code,Company Postbox Zip Code,Company Postbox Zip Code,Company Postbox Zip Code
job,jobroomApp.job.companyWebsite,Company Website,Company Website,Company Website,Company Website
job,jobroomApp.job.companyZipCode,Company Zip Code,Company Zip Code,Company Zip Code,Company Zip Code
job,jobroomApp.job.contactEmail,Contact Email,Contact Email,Contact Email,Contact Email
job,jobroomApp.job.contactFirstName,Contact First Name,Contact First Name,Contact First Name,Contact First Name
job,jobroomApp.job.contactLastName,Contact Last Name,Contact Last Name,Contact Last Name,Contact Last Name
job,jobroomApp.job.contactPhone,Contact Phone,Contact Phone,Contact Phone,Contact Phone
job,jobroomApp.job.contactTitle,Contact Title,Contact Title,Contact Title,Contact Title
job,jobroomApp.job.currencyCode,Currency Code,Currency Code,Currency Code,Currency Code
job,jobroomApp.job.delete.question,Soll Job {{ id }} wirklich dauerhaft gelöscht werden?,Are you sure you want to delete Job {{ id }}?,Etes-vous certain de vouloir supprimer le Job {{ id }} ?,Sei sicuro di volere eliminare Job {{ id }}?
job,jobroomApp.job.description,Description,Description,Description,Description
job,jobroomApp.job.detail.title,Job,Job,Job,Job
job,jobroomApp.job.drivingLicenseLevel,Driving License Level,Driving License Level,Driving License Level,Driving License Level
job,jobroomApp.job.endDate,End Date,End Date,End Date,End Date
job,jobroomApp.job.externalId,External Id,External Id,External Id,External Id
job,jobroomApp.job.externalUrl,External Url,External Url,External Url,External Url
job,jobroomApp.job.fingerPrint,Finger Print,Finger Print,Finger Print,Finger Print
job,jobroomApp.job.gender,Gender,Gender,Gender,Gender
job,jobroomApp.job.hasPersonalVehicle,Has Personal Vehicle,Has Personal Vehicle,Has Personal Vehicle,Has Personal Vehicle
job,jobroomApp.job.home.createLabel,Job erstellen,Create a new Job,Créer un nouveau Job,Genera un nuovo Job
job,jobroomApp.job.home.createOrEditLabel,Job erstellen oder bearbeiten,Create or edit a Job,Créer ou éditer un Job,Genera o modifica un Job
job,jobroomApp.job.home.title,Jobs,Jobs,Jobs,Jobs
job,jobroomApp.job.isJobSharing,Is Job Sharing,Is Job Sharing,Is Job Sharing,Is Job Sharing
job,jobroomApp.job.isPermanent,Is Permanent,Is Permanent,Is Permanent,Is Permanent
job,jobroomApp.job.isSuitableForDisabled,Is Suitable For Disabled,Is Suitable For Disabled,Is Suitable For Disabled,Is Suitable For Disabled
job,jobroomApp.job.languages,Languages,Languages,Languages,Languages
job,jobroomApp.job.locality.cantonCode,Locality Canton Code,Locality Canton Code,Locality Canton Code,Locality Canton Code
job,jobroomApp.job.locality.communalCode,Locality Communal Code,Locality Communal Code,Locality Communal Code,Locality Communal Code
job,jobroomApp.job.locality.countryCode,Locality Country Code,Locality Country Code,Locality Country Code,Locality Country Code
job,jobroomApp.job.locality.regionCode,Locality Region Code,Locality Region Code,Locality Region Code,Locality Region Code
job,jobroomApp.job.locality.text,Locality Text,Locality Text,Locality Text,Locality Text
job,jobroomApp.job.locality.zipCode,Job Locality Zip Code,Job Locality Zip Code,Job Locality Zip Code,Job Locality Zip Code
job,jobroomApp.job.numberOfJobs,Number Of Jobs,Number Of Jobs,Number Of Jobs,Number Of Jobs
job,jobroomApp.job.paymentMax,Payment Max,Payment Max,Payment Max,Payment Max
job,jobroomApp.job.paymentMin,Payment Min,Payment Min,Payment Min,Payment Min
job,jobroomApp.job.professions,Professions,Professions,Professions,Professions
job,jobroomApp.job.publicationEndDate,Publication End Date,Publication End Date,Publication End Date,Publication End Date
job,jobroomApp.job.publicationStartDate,Publication Start Date,Publication Start Date,Publication Start Date,Publication Start Date
job,jobroomApp.job.registrationDate,Registration Date,Registration Date,Registration Date,Registration Date
job,jobroomApp.job.startDate,Start Date,Start Date,Start Date,Start Date
job,jobroomApp.job.startsImmediately,Starts Immediately,Starts Immediately,Starts Immediately,Starts Immediately
job,jobroomApp.job.title,Title,Title,Title,Title
job,jobroomApp.job.workingTimePercentageMax,Working Time Percentage Max,Working Time Percentage Max,Working Time Percentage Max,Working Time Percentage Max
job,jobroomApp.job.workingTimePercentageMin,Working Time Percentage Min,Working Time Percentage Min,Working Time Percentage Min,Working Time Percentage Min
job,jobserviceApp.job.created,Job erstellt mit ID {{ param }},A new Job is created with identifier {{ param }},Un nouveau Job a été créé avec l'identifiant {{ param }},È stato generato un nuovo Job con identificatore { param }}
job,jobserviceApp.job.deleted,Job gelöscht mit ID {{ param }},A Job is deleted with identifier {{ param }},Le Job avec l'identifiant {{ param }} a été supprimé,È stato eliminato Job con identificatore {{ param }}
job,jobserviceApp.job.updated,Job aktualisiert mit ID {{ param }},A Job is updated with identifier {{ param }},Le Job avec l'identifiant {{ param }} a été mis à jour,È stato aggiornato Job identificato da {{ param }}
login,login.form.button,Anmelden,Sign in,Connexion,Accedi
login,login.form.password,Passwort,Password,Mot de passe,Password
login,login.form.password.placeholder,Ihr Passwort,Your password,Votre mot de passe,La tua password
login,login.form.rememberme,Automatische Anmeldung,Remember me,Garder la session ouverte,Ricordami
login,login.messages.error.authentication,<strong>Anmeldung fehlgeschlagen!</strong> Überprüfen Sie bitte Ihre Angaben und versuchen Sie es erneut.,<strong>Failed to sign in!</strong> Please check your credentials and try again.,<strong>Erreur d'authentification !</strong> Veuillez vérifier vos identifiants de connexion.,<strong>Accesso non riuscito!</strong> Si prega di controllare le credenziali e riprovare.
login,login.password.forgot,Sie haben Ihr Passwort vergessen?,Did you forget your password?,Avez-vous oublié votre mot de passe ?,Password dimenticata?
login,login.title,Anmeldung,Sign in,Authentification,Accedi
logs,audits.filter.button.clear,,,Effacer,
logs,audits.filter.button.close,,,Fermer,
logs,audits.filter.button.today,,,Aujourd'hui,
logs,audits.filter.button.weeks,,,Semaines,
logs,audits.filter.from,,,De,
logs,audits.filter.title,,,Filtrer par date,
logs,audits.filter.to,,,à,
logs,audits.table.data.remoteAddress,,,Adresse Distante :,
logs,audits.table.header.data,,,Autres données,
logs,audits.table.header.date,,,Date,
logs,audits.table.header.principal,,,Utilisateur,
logs,audits.table.header.status,,,Status,
logs,audits.title,,,Audits,
logs,logs.filter,Filter,Filter,Filtrer,Filtro
logs,logs.nbloggers,Es existieren {{ total }} Logger.,There are {{ total }} loggers.,"Total de {{ total }} ""loggers"".",Hai {{ total }} logger.
logs,logs.table.level,Stufe,Level,Niveau,Livello
logs,logs.table.name,Name,Name,Nom,Nome
logs,logs.title,Protokolle,Logs,Logs,Log
metrics,metrics.cache.averageGetTime,,Average get time (µs),Temps de lecture moyen (µs),
metrics,metrics.cache.averagePutTime,,Average put time (µs),Temps d'écriture moyen (µs),
metrics,metrics.cache.averageRemoveTime,,Average remove time (µs),Temps de suppression moyen (µs),
metrics,metrics.cache.cachename,Cache Name,Cache name,Nom du cache,Nome Cache
metrics,metrics.cache.evictions,Anzahl entfernter Objekte,Cache Evictions,Évictions,Evictions
metrics,metrics.cache.gets,,Cache Gets,Lectures,
metrics,metrics.cache.hitPercent,,Cache Hit %,% données existantes,
metrics,metrics.cache.hits,Treffer,Cache Hits,Données existantes,Hits
metrics,metrics.cache.missPercent,,Cache Miss %,% données non existantes,
metrics,metrics.cache.misses,Keine Treffer,Cache Misses,Données non existantes,Misses
metrics,metrics.cache.puts,,Cache Puts,Écritures,
metrics,metrics.cache.removals,,Cache Removals,Suppressions,
metrics,metrics.cache.title,Cache Statistiken,Cache statistics,Statistiques de cache,Statistiche cache
metrics,metrics.datasource.count,Anzahl,Count,Total,Count
